"CountyState","lon","lat","MajorClassAdmission","Admissions","CountryofBirth","originlon","originlat","GEOID","level"
"Norfolk County, Massachusetts",-71.1448516,42.17668,"ImmediateRelatives-Parents","4","Korea, South",127.766922,35.907757,"25021","county"
"Alameda County, California",-121.7195459,37.6016892,"FamilyPreference4th","9","Korea, South",127.766922,35.907757,"06001","county"
"Chester County, Pennsylvania",-75.8069082,40.0010204,"EmploymentPreference2nd","4","Korea, South",127.766922,35.907757,"42029","county"
"Wake County, North Carolina",-78.5660852,35.8031909,"FamilyPreference3rd","D","Korea, South",127.766922,35.907757,"37183","county"
"Wake County, North Carolina",-78.5660852,35.8031909,"ImmediateRelatives-Spouses","5","Korea, South",127.766922,35.907757,"37183","county"
"Montgomery County, Pennsylvania",-75.3878525,40.2290075,"EmploymentPreference4th","4","Korea, South",127.766922,35.907757,"42091","county"
"DeKalb County, Georgia",-84.2278796,33.7956441,"ImmediateRelatives-Children","D","Korea, South",127.766922,35.907757,"13089","county"
"Queens County, New York",-73.7948516,40.7282239,"EmploymentPreference3rdSkilled","156","Korea, South",127.766922,35.907757,"36081","county"
"Fayette County, Kentucky",-84.4802606,38.0606478,"EmploymentPreference3rdSkilled","D","Korea, South",127.766922,35.907757,"21067","county"
"Middlesex County, New Jersey",-74.3587473,40.4111363,"FamilyPreference1st","D","Korea, South",127.766922,35.907757,"34023","county"
"San Diego County, California",-117.1610966,32.7157305,"FamilyPreference3rd","4","Korea, South",127.766922,35.907757,"06073","county"
"Johnson County, Kansas",-94.8520636,38.845412,"ImmediateRelatives-Spouses","D","Korea, South",127.766922,35.907757,"20091","county"
"San Diego County, California",-117.1610966,32.7157305,"EmploymentPreference3rdUnskilled","21","Korea, South",127.766922,35.907757,"06073","county"
"Johnson County, Kansas",-94.8520636,38.845412,"EmploymentPreference3rdUnskilled","4","Korea, South",127.766922,35.907757,"20091","county"
"Johnson County, Kansas",-94.8520636,38.845412,"EmploymentPreference1st","7","Korea, South",127.766922,35.907757,"20091","county"
"Maricopa County, Arizona",-112.4291464,33.2917968,"EmploymentPreference5th","7","Korea, South",127.766922,35.907757,"04013","county"
"Will County, Illinois",-88.0900762,41.5054724,"EmploymentPreference2nd","7","Korea, South",127.766922,35.907757,"17197","county"
"Will County, Illinois",-88.0900762,41.5054724,"ImmediateRelatives-Parents","D","Korea, South",127.766922,35.907757,"17197","county"
"Orange County, California",-117.8311428,33.7174708,"ImmediateRelatives-Children","22","Korea, South",127.766922,35.907757,"06059","county"
"Orange County, California",-117.8311428,33.7174708,"ImmediateRelatives-Spouses","181","Korea, South",127.766922,35.907757,"06059","county"
"Middlesex County, Massachusetts",-71.2874209,42.467206,"ImmediateRelatives-Children","D","Korea, South",127.766922,35.907757,"25017","county"
"Franklin County, Ohio",-82.9931607,40.0154745,"ImmediateRelatives-Spouses","16","Korea, South",127.766922,35.907757,"39049","county"
"Nassau County, New York",-73.5594128,40.6546145,"FamilyPreference2nd","D","Korea, South",127.766922,35.907757,"36059","county"
"Bergen County, New Jersey",-74.07701,40.9262762,"EmploymentPreference3rdUnskilled","46","Korea, South",127.766922,35.907757,"34003","county"
"Bergen County, New Jersey",-74.07701,40.9262762,"EmploymentPreference2nd","156","Korea, South",127.766922,35.907757,"34003","county"
"Summit County, Ohio",-81.5596427,41.0918991,"ImmediateRelatives-Parents","D","Korea, South",127.766922,35.907757,"39153","county"
"Nassau County, New York",-73.5594128,40.6546145,"EmploymentPreference3rdUnskilled","6","Korea, South",127.766922,35.907757,"36059","county"
"Multnomah County, Oregon",-122.5863211,45.5145659,"ImmediateRelatives-Parents","D","Korea, South",127.766922,35.907757,"41051","county"
"San Bernardino County, California",-116.419389,34.9592083,"ImmediateRelatives-Spouses","30","Korea, South",127.766922,35.907757,"06071","county"
"Middlesex County, Massachusetts",-71.2874209,42.467206,"EmploymentPreference3rdUnskilled","D","Korea, South",127.766922,35.907757,"25017","county"
"Multnomah County, Oregon",-122.5863211,45.5145659,"ImmediateRelatives-Spouses","14","Korea, South",127.766922,35.907757,"41051","county"
"Orange County, California",-117.8311428,33.7174708,"FamilyPreference2nd","28","Korea, South",127.766922,35.907757,"06059","county"
"Orange County, California",-117.8311428,33.7174708,"EmploymentPreference3rdUnskilled","55","Korea, South",127.766922,35.907757,"06059","county"
"Cobb County, Georgia",-84.564147,33.8999297,"EmploymentPreference3rdSkilled","6","Korea, South",127.766922,35.907757,"13067","county"
"Mercer County, New Jersey",-74.7337069,40.3028533,"ImmediateRelatives-Spouses","D","Korea, South",127.766922,35.907757,"34021","county"
"Utah County, Utah",-111.5706786,40.0966287,"FamilyPreference2nd","D","Korea, South",127.766922,35.907757,"49049","county"
"Mercer County, New Jersey",-74.7337069,40.3028533,"EmploymentPreference2nd","D","Korea, South",127.766922,35.907757,"34021","county"
"Travis County, Texas",-97.6982272,30.2097015,"ImmediateRelatives-Spouses","17","Korea, South",127.766922,35.907757,"48453","county"
"Orange County, California",-117.8311428,33.7174708,"FamilyPreference1st","11","Korea, South",127.766922,35.907757,"06059","county"
"Monterey County, California",-121.3541631,36.3136201,"EmploymentPreference2nd","D","Korea, South",127.766922,35.907757,"06053","county"
"Alameda County, California",-121.7195459,37.6016892,"ImmediateRelatives-Parents","17","Korea, South",127.766922,35.907757,"06001","county"
"Norfolk County, Massachusetts",-71.1448516,42.17668,"EmploymentPreference5th","6","Korea, South",127.766922,35.907757,"25021","county"
"Greenville County, South Carolina",-82.345189,34.9297484,"ImmediateRelatives-Children","D","Korea, South",127.766922,35.907757,"45045","county"
"Hamilton County, Ohio",-84.564147,39.2355447,"ImmediateRelatives-Spouses","4","Korea, South",127.766922,35.907757,"39061","county"
"Chester County, Pennsylvania",-75.8069082,40.0010204,"ImmediateRelatives-Parents","D","Korea, South",127.766922,35.907757,"42029","county"
"Adams County, Colorado",-104.1930918,39.8398269,"EmploymentPreference2nd","D","Korea, South",127.766922,35.907757,"08001","county"
"Prince William County, Virginia",-77.6077865,38.7838939,"ImmediateRelatives-Parents","16","Korea, South",127.766922,35.907757,"51153","county"
"DeKalb County, Georgia",-84.2278796,33.7956441,"ImmediateRelatives-Spouses","6","Korea, South",127.766922,35.907757,"13089","county"
"Hillsborough County, Florida",-82.3017728,27.9903597,"EmploymentPreference1st","6","Korea, South",127.766922,35.907757,"12057","county"
"Washington County, Oregon",-123.1386021,45.5469616,"FamilyPreference2nd","D","Korea, South",127.766922,35.907757,"41067","county"
"Montgomery County, Pennsylvania",-75.3878525,40.2290075,"EmploymentPreference3rdSkilled","18","Korea, South",127.766922,35.907757,"42091","county"
"Montgomery County, Pennsylvania",-75.3878525,40.2290075,"EmploymentPreference2nd","28","Korea, South",127.766922,35.907757,"42091","county"
"Hudson County, New Jersey",-74.0535126,40.7453199,"ImmediateRelatives-Spouses","40","Korea, South",127.766922,35.907757,"34017","county"
"Hudson County, New Jersey",-74.0535126,40.7453199,"ImmediateRelatives-Children","D","Korea, South",127.766922,35.907757,"34017","county"
"Hudson County, New Jersey",-74.0535126,40.7453199,"EmploymentPreference5th","6","Korea, South",127.766922,35.907757,"34017","county"
"Lake County, Illinois",-87.8271534,42.3689363,"EmploymentPreference3rdUnskilled","4","Korea, South",127.766922,35.907757,"17097","county"
"Camden County, New Jersey",-75.0143824,39.8592439,"ImmediateRelatives-Spouses","4","Korea, South",127.766922,35.907757,"34007","county"
"Lake County, Illinois",-87.8271534,42.3689363,"EmploymentPreference1st","17","Korea, South",127.766922,35.907757,"17097","county"
"Dallas County, Texas",-96.8350999,32.8024682,"EmploymentPreference5th","D","Korea, South",127.766922,35.907757,"48113","county"
"Ramsey County, Minnesota",-93.0615978,44.9963986,"ImmediateRelatives-Spouses","6","Korea, South",127.766922,35.907757,"27123","county"
"Yuma County, Arizona",-113.9536466,32.6527533,"EmploymentPreference4th","D","Korea, South",127.766922,35.907757,"04027","county"
"Arapahoe County, Colorado",-104.332644,39.62031,"ImmediateRelatives-Children","D","Korea, South",127.766922,35.907757,"08005","county"
"Osceola County, Florida",-81.0754657,28.1019838,"ImmediateRelatives-Spouses","D","Korea, South",127.766922,35.907757,"12097","county"
"Los Angeles County, California",-118.2436596,34.0522265,"EmploymentPreference1st","100","Korea, South",127.766922,35.907757,"06037","county"
"Sacramento County, California",-121.3541631,38.47467,"ImmediateRelatives-Children","D","Korea, South",127.766922,35.907757,"06067","county"
"Camden County, New Jersey",-75.0143824,39.8592439,"EmploymentPreference3rdSkilled","8","Korea, South",127.766922,35.907757,"34007","county"
"Harris County, Texas",-95.3102505,29.7751825,"EmploymentPreference3rdSkilled","36","Korea, South",127.766922,35.907757,"48201","county"
"Multnomah County, Oregon",-122.5863211,45.5145659,"ImmediateRelatives-Children","D","Korea, South",127.766922,35.907757,"41051","county"
"Harris County, Texas",-95.3102505,29.7751825,"EmploymentPreference3rdUnskilled","D","Korea, South",127.766922,35.907757,"48201","county"
"Kings County, New York",-73.9441579,40.6781784,"EmploymentPreference5th","5","Korea, South",127.766922,35.907757,"36047","county"
"Orange County, Florida",-81.2518833,28.4844995,"ImmediateRelatives-Children","4","Korea, South",127.766922,35.907757,"12095","county"
"Cobb County, Georgia",-84.564147,33.8999297,"EmploymentPreference1st","6","Korea, South",127.766922,35.907757,"13067","county"
"Bergen County, New Jersey",-74.07701,40.9262762,"EmploymentPreference3rdSkilled","239","Korea, South",127.766922,35.907757,"34003","county"
"Nassau County, New York",-73.5594128,40.6546145,"EmploymentPreference1st","D","Korea, South",127.766922,35.907757,"36059","county"
"Middlesex County, Massachusetts",-71.2874209,42.467206,"EmploymentPreference3rdSkilled","4","Korea, South",127.766922,35.907757,"25017","county"
"San Bernardino County, California",-116.419389,34.9592083,"EmploymentPreference4th","11","Korea, South",127.766922,35.907757,"06071","county"
"Gwinnett County, Georgia",-84.0167423,33.9190653,"EmploymentPreference3rdSkilled","64","Korea, South",127.766922,35.907757,"13135","county"
"Loudoun County, Virginia",-77.6536125,39.076767,"ImmediateRelatives-Spouses","12","Korea, South",127.766922,35.907757,"51107","county"
"Brevard County, Florida",-80.7214417,28.263933,"ImmediateRelatives-Spouses","4","Korea, South",127.766922,35.907757,"12009","county"
"Weld County, Colorado",-104.7158226,40.3920718,"EmploymentPreference3rdSkilled","D","Korea, South",127.766922,35.907757,"08123","county"
"Utah County, Utah",-111.5706786,40.0966287,"EmploymentPreference2nd","D","Korea, South",127.766922,35.907757,"49049","county"
"Chester County, Pennsylvania",-75.8069082,40.0010204,"ImmediateRelatives-Spouses","D","Korea, South",127.766922,35.907757,"42029","county"
"Queens County, New York",-73.7948516,40.7282239,"FamilyPreference4th","15","Korea, South",127.766922,35.907757,"36081","county"
"Wake County, North Carolina",-78.5660852,35.8031909,"FamilyPreference4th","D","Korea, South",127.766922,35.907757,"37183","county"
"Mecklenburg County, North Carolina",-80.8543847,35.2632655,"EmploymentPreference2nd","6","Korea, South",127.766922,35.907757,"37119","county"
"Cook County, Illinois",-87.697554,41.7376587,"EmploymentPreference4th","D","Korea, South",127.766922,35.907757,"17031","county"
"Alameda County, California",-121.7195459,37.6016892,"FamilyPreference2nd","5","Korea, South",127.766922,35.907757,"06001","county"
"Montgomery County, Pennsylvania",-75.3878525,40.2290075,"EmploymentPreference5th","4","Korea, South",127.766922,35.907757,"42091","county"
"Bucks County, Pennsylvania",-75.2479061,40.4107964,"ImmediateRelatives-Spouses","D","Korea, South",127.766922,35.907757,"42017","county"
"Fayette County, Kentucky",-84.4802606,38.0606478,"EmploymentPreference2nd","4","Korea, South",127.766922,35.907757,"21067","county"
"Palm Beach County, Florida",-80.2767327,26.6514503,"EmploymentPreference3rdUnskilled","D","Korea, South",127.766922,35.907757,"12099","county"
"Washtenaw County, Michigan",-83.8473015,42.3076493,"EmploymentPreference3rdSkilled","11","Korea, South",127.766922,35.907757,"26161","county"
